DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region Description, Total Discharges , Average Covered Charges , Average Total Payments ,Average Medicare Payments
"563 - FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC",330080,LINCOLN MEDICAL & MENTAL HEALTH CENTER,234 EAST 149TH STREET,BRONX,NY,10451,NY - Bronx,12,$13623.66,$10932.41,$9902.75
"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",330316,NEW YORK WESTCHESTER SQUARE MEDICAL CENTER,2475 ST RAYMOND AVENUE,BRONX,NY,10461,NY - Bronx,94,$13866.71,$5777.17,$4521.73
390 - G.I. OBSTRUCTION W/O CC/MCC,330316,NEW YORK WESTCHESTER SQUARE MEDICAL CENTER,2475 ST RAYMOND AVENUE,BRONX,NY,10461,NY - Bronx,20,$13195.25,$4975.60,$4417.60
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,330399,ST BARNABAS HOSPITAL,4422 THIRD AVENUE,BRONX,NY,10457,NY - Bronx,18,$37357.05,$20593.50,$20093.94
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,330399,ST BARNABAS HOSPITAL,4422 THIRD AVENUE,BRONX,NY,10457,NY - Bronx,20,$41296.65,$17232.05,$16331.25
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,NY - Bronx,13,$37429.92,$13079.38,$10280.76
379 - G.I. HEMORRHAGE W/O CC/MCC,330316,NEW YORK WESTCHESTER SQUARE MEDICAL CENTER,2475 ST RAYMOND AVENUE,BRONX,NY,10461,NY - Bronx,26,$17147.23,$5626.11,$4525.50
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,330399,ST BARNABAS HOSPITAL,4422 THIRD AVENUE,BRONX,NY,10457,NY - Bronx,24,$31711.12,$16978.87,$16469.04
871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,NY - Bronx,903,$74102.28,$23393.24,$22625.12
"563 - FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC",330127,JACOBI MEDICAL CENTER,1400 PELHAM PARKWAY SOUTH,BRONX,NY,10461,NY - Bronx,15,$12415.20,$10200.46,$9372.46
